ARTICLE;PRICE;DATE
Sony PlayStation 5;;2021-08-26 17:48:31.041767
Sony PlayStation 5;;2021-08-26 18:38:33.401934
Sony PlayStation 5;;2021-08-27 06:38:35.305395
Sony PlayStation 5;;2021-08-27 11:38:33.260285
Sony PlayStation 5;;2021-08-27 12:38:31.954131
Sony PlayStation 5;;2021-08-27 13:38:31.818348
Sony PlayStation 5;;2021-08-27 14:38:31.395543
Sony PlayStation 5;;2021-08-27 15:38:31.428098
Sony PlayStation 5;;2021-08-27 16:00:02.485951
Sony PlayStation 5;;2021-08-27 17:00:06.621517
Sony PlayStation 5;;2021-08-28 12:52:09.229011
Sony PlayStation 5;;2021-08-29 08:24:31.385947
Sony PlayStation 5;;2021-08-30 08:34:48.758173
Sony PlayStation 5;;2021-08-30 09:23:12.935468
Sony PlayStation 5;;2021-08-30 10:53:42.983812
Sony PlayStation 5;;2021-08-30 11:13:43.032425
Sony PlayStation 5;;2021-08-30 12:06:15.008741
Sony PlayStation 5;;2021-08-30 13:32:01.630958
Sony PlayStation 5;;2021-08-30 14:53:12.533089
Sony PlayStation 5;;2021-08-31 07:31:25.386681
Sony PlayStation 5;;2021-08-31 08:56:48.461372
Sony PlayStation 5;;2021-08-31 09:10:46.472552
Sony PlayStation 5;;2021-08-31 10:45:51.886672
Sony PlayStation 5;;2021-08-31 11:47:24.994310
Sony PlayStation 5;;2021-08-31 12:01:44.550291
Sony PlayStation 5;;2021-08-31 13:10:41.534770
Sony PlayStation 5;;2021-08-31 14:21:20.920657
Sony PlayStation 5;;2021-08-31 15:08:42.236108
Sony PlayStation 5;;2021-08-31 16:28:54.971344
Sony PlayStation 5;;2021-08-31 17:00:13.662234
Sony PlayStation 5;;2021-09-01 06:01:30.922521
Sony PlayStation 5;;2021-09-01 07:53:14.914792
Sony PlayStation 5;;2021-09-01 08:35:49.492064
Sony PlayStation 5;;2021-09-01 09:23:26.560414
Sony PlayStation 5;;2021-09-01 10:33:36.338374
Sony PlayStation 5;;2021-09-01 11:37:07.274153
Sony PlayStation 5;;2021-09-01 12:55:38.873559
Sony PlayStation 5;;2021-09-01 13:14:40.234984
Sony PlayStation 5;;2021-09-01 14:32:23.912924
Sony PlayStation 5;;2021-09-01 15:04:50.628441
Sony PlayStation 5;;2021-09-01 16:56:41.213599
Sony PlayStation 5;;2021-09-01 17:10:40.267317
Sony PlayStation 5;;2021-09-02 06:50:29.031916
